hosts_time_as_host_years,accommodates,bathrooms,bedrooms,beds,price_quote_price_per_night,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,comuna_Cerrillos,comuna_Cerro Navia,comuna_Conchalí,comuna_El Bosque,comuna_Estación Central,comuna_Huechuraba,comuna_Independencia,comuna_La Cisterna,comuna_La Florida,comuna_La Granja,comuna_La Pintana,comuna_La Reina,comuna_Las Condes,comuna_Lo Barnechea,comuna_Lo Espejo,comuna_Lo Prado,comuna_Macul,comuna_Maipú,comuna_Pedro Aguirre Cerda,comuna_Peñalolén,comuna_Providencia,comuna_Pudahuel,comuna_Quilicura,comuna_Quinta Normal,comuna_Recoleta,comuna_Renca,comuna_San Joaquín,comuna_San Miguel,comuna_Santiago,comuna_Vitacura,comuna_Ñuñoa,tipo_Bus,tipo_Camper/RV,tipo_Casa_particular,tipo_Castle,tipo_Cave,tipo_Entire_bungalow,tipo_Entire_cabin,tipo_Entire_chalet,tipo_Entire_condo,tipo_Entire_cottage,tipo_Entire_guest_suite,tipo_Entire_guesthouse,tipo_Entire_home,tipo_Entire_loft,tipo_Entire_place,tipo_Entire_rental_unit,tipo_Entire_serviced_apartment,tipo_Entire_townhouse,tipo_Entire_vacation_home,tipo_Entire_villa,tipo_Hut,tipo_Private_room,tipo_Private_room_in_bed_and_breakfast,tipo_Private_room_in_bungalow,tipo_Private_room_in_bus,tipo_Private_room_in_cabin,tipo_Private_room_in_casa_particular,tipo_Private_room_in_chalet,tipo_Private_room_in_condo,tipo_Private_room_in_cottage,tipo_Private_room_in_dome,tipo_Private_room_in_earthen_home,tipo_Private_room_in_farm_stay,tipo_Private_room_in_guest_suite,tipo_Private_room_in_guesthouse,tipo_Private_room_in_home,tipo_Private_room_in_hostel,tipo_Private_room_in_loft,tipo_Private_room_in_nature_lodge,tipo_Private_room_in_rental_unit,tipo_Private_room_in_serviced_apartment,tipo_Private_room_in_tent,tipo_Private_room_in_tiny_home,tipo_Private_room_in_tower,tipo_Private_room_in_townhouse,tipo_Private_room_in_treehouse,tipo_Private_room_in_vacation_home,tipo_Private_room_in_villa,tipo_Room_in_aparthotel,tipo_Room_in_bed_and_breakfast,tipo_Room_in_boutique_hotel,tipo_Room_in_hostel,tipo_Room_in_hotel,tipo_Room_in_serviced_apartment,tipo_Shared_room_in_bed_and_breakfast,tipo_Shared_room_in_casa_particular,tipo_Shared_room_in_guesthouse,tipo_Shared_room_in_home,tipo_Shared_room_in_hostel,tipo_Shared_room_in_hotel,tipo_Shared_room_in_rental_unit,tipo_Tiny_home,tipo_Tower,tipo_Windmill,tipo_Yurt,habitacion_Entire_home/apt,habitacion_Hotel_room,habitacion_Private_room,habitacion_Shared_room
-0.16666666666666666,1.0,0.0,2.0,0.5,61239.33,-0.27906976744186046,-4.631578947368433,0.5624999999999987,0.6363636363636356,0.4999999999999963,-7.3076923076923155,-11.294117647058828,-4.473684210526304,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.5,0.0,0.0,0.0,0.5,63500.0,-0.27906976744186046,0.6315789473684232,-5.687499999999996,0.6363636363636356,0.4999999999999963,0.3846153846153836,0.47058823529411825,0.7894736842105265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5,-0.5,0.0,0.0,-0.5,323052.0,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.0,1.0,1.0,62764.5,0.3953488372093023,-0.05263157894736744,-0.06249999999999861,-1.9545454545454595,-0.08333333333333888,-1.1538461538461575,-1.882352941176473,-0.4210526315789469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.16666666666666666,0.5,0.0,0.0,-0.5,98655.0,-0.20930232558139536,-4.631578947368433,-2.5624999999999987,-5.045454545454553,-5.749999999999998,-9.230769230769239,0.47058823529411825,-4.473684210526304,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.5,0.5,1.0,1.0,0.5,69134.0,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.3333333333333333,-0.5,0.0,0.0,-0.5,57077.0,0.3953488372093023,0.47368421052631626,0.3749999999999972,0.3181818181818158,-0.9166666666666685,-0.15384615384615752,-1.117647058823527,0.10526315789473906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.5,0.0,0.0,0.0,0.0,74177.0,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.16666666666666666,-1.0,0.0,0.0,0.0,42933.0,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.5,-0.5,0.0,0.0,-0.5,37659.0,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.1666666666666667,1.5,0.0,1.0,1.5,54398.0,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,-0.5,0.0,0.0,0.0,50000.0,-0.2558139534883721,0.6315789473684232,0.5624999999999987,0.6363636363636356,0.4999999999999963,0.3846153846153836,0.47058823529411825,0.7894736842105265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
